gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,paperlessbilling,charges.monthly,charges.total,contas_diarias,internetservice_Fiber optic,internetservice_No,contract_One year,contract_Two year,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check,churn_real,churn_predito,prob_churn
1,0,0,0,1,1,0,0,0,0,0,0,0,0,19.95,19.95,0.6649999999999999,0,1,0,0,0,1,0,1,0,0.31
1,1,0,0,26,1,0,0,0,0,0,0,0,0,19.3,504.2,0.6433333333333333,0,1,1,0,1,0,0,0,0,0.0
1,0,1,0,24,1,1,0,0,0,0,1,1,1,93.0,2248.05,3.1,1,0,0,0,0,1,0,0,1,0.67
0,0,0,0,3,1,0,0,0,0,0,0,1,1,55.3,196.15,1.8433333333333333,0,0,0,0,0,1,0,1,0,0.49
1,0,0,0,56,1,0,1,0,1,0,0,0,0,52.7,3019.7,1.7566666666666668,0,0,1,0,0,0,1,0,0,0.01
0,0,0,0,14,1,1,0,1,0,0,0,0,1,54.25,773.2,1.8083333333333331,0,0,1,0,0,0,1,0,0,0.07
0,0,1,1,16,1,0,1,0,1,0,1,1,0,100.7,1522.7,3.356666666666667,1,0,0,0,0,0,0,0,1,0.544
0,1,1,0,22,1,1,1,1,0,1,0,0,1,63.55,1381.8,2.118333333333333,0,0,0,0,0,0,1,0,0,0.2
0,0,1,1,68,1,1,1,1,1,1,1,1,0,88.0,6161.9,2.933333333333333,0,0,0,1,1,0,0,0,0,0.0
1,0,1,1,23,1,0,1,0,0,1,1,1,1,99.85,2331.3,3.328333333333333,1,0,0,0,0,1,0,1,0,0.29
1,1,1,0,45,1,1,1,0,1,1,0,1,0,75.15,3480.35,2.5050000000000003,0,0,0,1,1,0,0,0,0,0.05
0,0,1,0,72,1,1,1,1,0,1,0,0,0,64.75,4804.75,2.158333333333333,0,0,0,1,0,0,0,0,0,0.08
1,0,0,0,52,1,0,0,1,0,0,0,1,1,85.35,4338.6,2.845,1,0,0,0,0,1,0,1,0,0.44
1,0,1,0,34,1,1,0,0,1,0,1,1,0,100.85,3527.3,3.3616666666666664,1,0,0,0,0,1,0,0,1,0.56
0,0,0,1,67,1,1,0,1,0,1,1,1,1,104.0,7039.05,3.466666666666667,1,0,0,1,0,1,0,0,0,0.16
0,0,1,0,49,0,0,0,1,0,1,1,1,1,56.3,2780.6,1.8766666666666665,0,0,1,0,1,0,0,0,0,0.22
1,1,0,0,1,1,0,0,0,0,0,0,0,1,69.5,69.5,2.316666666666667,1,0,0,0,0,0,0,1,1,0.93
1,0,0,0,20,1,1,0,1,0,1,1,0,1,68.7,1416.2,2.29,0,0,1,0,0,1,0,0,0,0.16
1,0,0,0,49,1,1,0,0,0,0,0,0,1,74.6,3720.35,2.4866666666666664,1,0,0,0,0,0,0,0,1,0.6
1,0,0,1,6,1,0,0,0,0,0,0,0,0,19.55,128.6,0.6516666666666667,0,1,0,0,0,0,1,0,0,0.09
0,0,0,0,60,1,0,0,0,0,0,0,0,0,19.85,1128.1,0.6616666666666667,0,1,0,1,0,0,0,0,0,0.0
0,1,0,0,41,1,1,1,1,1,0,1,1,1,113.2,4689.5,3.773333333333333,1,0,0,0,0,1,0,1,0,0.3398333333333333
1,0,0,1,39,1,0,0,0,0,0,0,0,0,19.35,779.2,0.645,0,1,1,0,0,0,0,0,0,0.02
0,0,1,1,45,1,1,1,1,0,0,1,1,1,105.15,4730.9,3.5050000000000003,1,0,0,0,0,1,0,0,0,0.19533333333333336
0,0,0,0,5,1,0,0,0,0,0,0,0,0,19.55,99.6,0.6516666666666667,0,1,1,0,0,1,0,0,0,0.11
0,0,0,0,34,1,0,1,0,1,1,1,1,1,79.95,2727.3,2.665,0,0,1,0,0,0,0,0,0,0.21
1,1,0,0,7,1,1,0,0,0,0,0,0,0,73.75,545.15,2.458333333333333,1,0,0,0,0,0,1,1,1,0.5489999999999999
0,0,0,0,69,1,0,1,0,1,1,1,1,1,82.45,5555.3,2.748333333333333,0,0,0,1,1,0,0,0,0,0.0
1,0,0,0,2,0,0,0,0,0,0,0,0,1,25.05,56.35,0.8350000000000001,0,0,0,0,0,1,0,1,1,0.92
1,0,0,0,57,0,0,0,1,0,0,1,0,1,39.3,2111.45,1.3099999999999998,0,0,0,0,0,1,0,1,0,0.34
0,0,1,1,8,1,0,0,0,0,0,0,0,0,19.5,162.15,0.65,0,1,0,1,0,0,1,0,0,0.02
0,1,1,1,31,1,0,0,0,1,1,1,1,1,98.9,2911.3,3.296666666666667,1,0,0,0,0,1,0,1,0,0.46
0,0,0,0,1,1,0,0,0,0,0,0,1,1,81.95,81.95,2.731666666666667,1,0,0,0,0,1,0,1,1,0.97
0,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,3.146666666666667,1,0,0,0,0,1,0,1,1,0.9
0,0,1,1,48,1,0,1,0,1,1,1,0,0,69.7,3023.65,2.3233333333333333,0,0,1,0,0,0,0,0,0,0.16
0,0,1,0,26,1,0,0,0,0,0,0,0,0,19.2,459.6,0.64,0,1,1,0,0,0,1,0,0,0.01
1,0,0,0,1,1,0,0,0,0,0,1,1,1,88.35,88.35,2.945,1,0,0,0,0,1,0,1,1,0.94
1,0,1,1,72,1,1,0,0,0,0,0,1,1,84.5,6130.85,2.816666666666667,1,0,0,1,1,0,0,0,0,0.04
0,0,1,1,20,1,1,1,0,0,0,1,1,0,76.0,1588.75,2.533333333333333,0,0,1,0,0,0,0,0,0,0.18
0,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,2.493333333333333,1,0,0,0,1,0,0,0,0,0.49
0,0,0,0,16,1,0,0,1,0,0,0,0,0,75.1,1212.85,2.503333333333333,1,0,0,0,0,0,0,0,1,0.68
0,0,0,0,64,1,1,0,0,0,0,0,0,0,24.7,1642.75,0.8233333333333334,0,1,1,0,0,0,1,0,0,0.06
0,0,0,0,25,1,1,0,1,1,1,1,1,0,108.9,2809.05,3.63,1,0,0,1,0,1,0,0,0,0.19
1,0,0,0,8,1,0,0,0,0,0,1,1,1,66.25,546.45,2.208333333333333,0,0,0,0,0,1,0,0,0,0.43
1,0,0,0,2,1,0,0,0,1,0,0,1,1,85.85,167.3,2.8616666666666664,1,0,0,0,0,1,0,1,1,0.735
0,0,1,0,25,1,0,0,0,0,1,1,1,1,95.15,2395.7,3.171666666666667,1,0,0,0,0,1,0,0,0,0.11
1,0,1,1,35,1,1,0,0,0,1,1,1,1,73.45,2661.1,2.4483333333333333,0,0,1,0,0,0,0,0,0,0.12
1,0,1,0,9,1,0,1,1,0,1,1,0,1,68.95,593.85,2.2983333333333333,0,0,0,0,0,0,1,0,0,0.2
0,0,1,0,55,1,1,1,1,0,1,0,0,1,66.05,3462.1,2.2016666666666667,0,0,1,0,1,0,0,0,0,0.04
0,0,1,1,50,1,1,1,1,1,1,0,1,1,80.05,4042.2,2.668333333333333,0,0,1,0,0,0,0,0,0,0.12
0,0,0,0,9,1,0,0,0,0,0,0,0,1,19.5,178.85,0.65,0,1,0,0,0,1,0,0,1,0.54
1,0,0,0,5,1,1,0,1,1,0,1,1,0,104.1,541.9,3.47,1,0,0,0,0,0,1,1,1,0.78
1,1,0,0,2,1,0,0,0,0,0,0,0,0,44.95,85.15,1.4983333333333335,0,0,0,0,0,0,1,1,1,0.69
0,0,1,1,22,1,0,0,1,0,0,1,1,1,69.5,1498.2,2.316666666666667,0,0,1,0,0,0,0,1,0,0.11
1,1,1,0,60,1,1,0,0,0,1,1,1,1,99.0,6017.9,3.3,1,0,0,0,0,1,0,0,0,0.22
1,0,1,0,51,1,0,1,1,1,1,1,1,1,83.85,4307.1,2.795,0,0,0,1,1,0,0,0,0,0.0
0,1,1,0,50,1,0,0,0,0,0,0,0,1,71.05,3444.85,2.368333333333333,1,0,0,0,0,1,0,1,0,0.46
1,0,0,0,69,1,1,0,1,0,1,1,1,1,105.2,7386.05,3.506666666666667,1,0,1,0,0,0,0,0,0,0.245
0,0,1,0,5,1,0,0,0,0,0,0,0,1,68.95,351.5,2.2983333333333333,1,0,0,0,0,1,0,0,1,0.63
1,0,0,0,50,1,0,1,1,0,1,0,1,1,93.5,4747.5,3.1166666666666667,1,0,0,0,1,0,0,0,0,0.22833333333333336
1,0,1,1,50,1,1,1,1,1,0,1,1,1,108.25,5431.4,3.608333333333333,1,0,1,0,0,1,0,0,0,0.29
0,0,0,0,2,1,0,0,1,0,0,0,0,0,49.2,103.7,1.64,0,0,0,0,0,0,1,0,0,0.4566666666666667
0,0,0,0,2,1,0,0,0,0,0,0,0,0,70.0,153.05,2.333333333333333,1,0,0,0,0,0,0,1,1,0.99
0,0,0,0,51,1,0,0,0,0,0,1,1,0,87.55,4475.9,2.918333333333333,1,0,1,0,1,0,0,0,0,0.43
1,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,3.556666666666666,1,0,0,1,0,0,0,0,0,0.19
1,0,0,1,62,1,0,0,0,0,0,0,0,0,20.0,1250.1,0.6666666666666666,0,1,0,1,0,0,0,0,0,0.07
1,0,1,0,14,0,0,0,0,0,0,1,1,0,46.35,667.7,1.5450000000000002,0,0,0,0,0,1,0,1,0,0.34
1,0,0,0,19,0,0,0,0,1,0,1,0,1,39.65,733.35,1.3216666666666663,0,0,0,0,0,1,0,1,1,0.51
1,0,0,0,1,1,0,0,0,0,0,0,0,1,69.85,69.85,2.328333333333333,1,0,0,0,0,1,0,1,1,0.87
1,0,0,0,1,1,0,0,0,0,0,0,0,1,43.85,43.85,1.461666666666667,0,0,0,0,0,0,0,0,1,0.75
1,0,0,0,1,1,0,0,0,0,0,0,0,0,46.3,46.3,1.5433333333333332,0,0,0,0,0,0,1,1,1,0.74
0,0,1,1,17,1,1,0,0,0,0,0,0,0,24.1,409.9,0.8033333333333333,0,1,0,0,0,0,1,1,0,0.01
1,1,1,0,71,1,1,1,1,1,0,1,1,1,107.5,7713.55,3.583333333333333,1,0,0,0,0,1,0,0,0,0.33333333333333337
1,0,0,0,51,1,1,0,0,0,0,0,0,0,24.75,1234.6,0.825,0,1,0,1,0,0,1,0,0,0.011666666666666665
1,0,0,0,12,1,1,0,0,1,0,1,1,0,74.75,827.05,2.4916666666666667,0,0,0,0,0,0,0,0,0,0.45
0,0,0,1,13,1,1,0,1,1,0,1,1,1,104.15,1299.1,3.4716666666666667,1,0,1,0,1,0,0,0,0,0.475
0,1,0,0,46,1,1,1,1,1,0,1,1,1,110.0,4874.8,3.6666666666666665,1,0,1,0,0,1,0,1,0,0.13
1,0,0,1,11,1,1,0,0,1,0,0,0,1,78.0,851.8,2.6,1,0,0,0,0,0,1,0,1,0.59
1,1,1,0,24,1,1,0,1,1,0,1,1,1,104.25,2433.9,3.475,1,0,0,0,0,1,0,1,1,0.7433333333333334
1,0,1,1,49,1,1,0,0,1,0,1,1,1,99.8,4872.45,3.3266666666666667,1,0,0,0,0,1,0,1,0,0.5
